username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ImPradeepKumar;2015-12-02 04:45;3;0;"5000 food pkts ready any1 wants to distribute pl cont vineet Jain 9840426263/ Gaurav Jain 9841062626. #ChennaiRainsHelp #ChennaiFloods";;;#ChennaiRainsHelp #ChennaiFloods;"671830082789314560";https://twitter.com/ImPradeepKumar/status/671830082789314560
karthickselvaa;2015-12-02 04:34;41;13;"special Metro trains have been operated in Chennai. It is the only transportation which is not affected due to heavy rain. #ChennaiFloods";;;#ChennaiFloods;"671827355858419713";https://twitter.com/karthickselvaa/status/671827355858419713
alison_haywood;2015-12-02 04:33;1;0;"Indians displaced by floods due to #chennairains http:// qz.com/562779/a-major -indian-city-has-been-under-water-for-almost-a-month-now/ #ChennaiFloods";;;#chennairains #ChennaiFloods;"671827066195730436";https://twitter.com/alison_haywood/status/671827066195730436
gowdhamchinraj;2015-12-02 04:32;1;3;"Dear national media #ndtv #cnn #toi plese dnt claim#sundarpitchai #drkalam#ashwin as your gift we l remain as same #madarasi #ChennaiFloods";;;#ndtv #cnn #toi #sundarpitchai #drkalam #ashwin #madarasi #ChennaiFloods;"671826829259366401";https://twitter.com/gowdhamchinraj/status/671826829259366401
shameer1112004;2015-12-02 04:32;1;0;"A big thanks for u all #chennairains #ChennaiFloods @jayam_mohanraja @actor_viishnu @Udhaystalin @Actor_Siddharth @RJ_Balaji";;@jayam_mohanraja @actor_viishnu @Udhaystalin @Actor_Siddharth @RJ_Balaji;#chennairains #ChennaiFloods;"671826758857986049";https://twitter.com/shameer1112004/status/671826758857986049
ImPradeepKumar;2015-12-02 04:32;3;1;"Could any1 pls Share the conditions of Nelson Manickam Road and area around? #chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue";;;#chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue;"671826740814045184";https://twitter.com/ImPradeepKumar/status/671826740814045184
sarvinerdo;2015-12-02 04:29;2;2;"We are Madrasis , Not Paradesis ! #chennairains @ndtv @ibnlive @justicearnab @sardesairajdeep #ChennaiFloods #TNflood #TamilNaduRains";;@ndtv @ibnlive @justicearnab @sardesairajdeep;#chennairains #ChennaiFloods #TNflood #TamilNaduRains;"671825971528404992";https://twitter.com/sarvinerdo/status/671825971528404992
boopalm;2015-12-02 04:28;0;0;"Remember now You can't eat money. #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671825696595947520";https://twitter.com/boopalm/status/671825696595947520
mascaru;2015-12-02 04:27;7;2;"Indian Navy please help people in Mudichur-Tambaram area #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671825463166296065";https://twitter.com/mascaru/status/671825463166296065
mk66066;2015-12-02 04:27;6;1;"SRM University is accommodating people in their buildings Whoever standed n GST pls go there #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671825452109971456";https://twitter.com/mk66066/status/671825452109971456
Ashish_1905;2015-12-02 04:25;7;2;"OMG !! Shit Just Got Real here !! :( :( Need Help AEAP !! Pray evry1 gets out safe . #chennairains #ChennaiFloods https:// twitter.com/Im_sba/status/ 671821131712598016 ";;;#chennairains #ChennaiFloods;"671825072496087040";https://twitter.com/Ashish_1905/status/671825072496087040
riyer88;2015-12-02 04:25;0;1;"#chennairains seem 2 have caused havoc n the #city . Praying for all #friends #family 2 stay safe. Avoid #ChennaiFloods areas. Hpy #Margazhi";;;#chennairains #city #friends #family #ChennaiFloods #Margazhi;"671825033078169601";https://twitter.com/riyer88/status/671825033078169601
ThalaAjith_FC;2015-12-02 04:25;406;87;"Verified ! kindly do the needful Spread.it Guys!! #ChennaiFloods #ChennaiRainsHelp pic.twitter.com/WfvO5t11se";;;#ChennaiFloods #ChennaiRainsHelp;"671824926345723905";https://twitter.com/ThalaAjith_FC/status/671824926345723905
mpmalarrajan;2015-12-02 04:22;1;1;"#ChennaiFloods pray for Chennai guys https:// twitter.com/Actor_Siddhart h/status/671738605237243904 ";;;#ChennaiFloods;"671824327541571584";https://twitter.com/mpmalarrajan/status/671824327541571584
