username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
ChennaiMazhai	01-12-2015 13:35	0	0	Chennai - Vizhupuram NH one side blocked. All traffice pass thro the other side. #chennaimazhai #chennairains #chennaifloods			#chennaimazhai #chennairains #chennaifloods	671600897026187264	https://twitter.com/ChennaiMazhai/status/671600897026187264
mkrishdn	01-12-2015 13:34	8	3	Heavy rain started in #nungambakkam again... #chennairains #chennaifloods #chennaidrowning #chennai #chennaiweather pic.twitter.com/Cp4i5hho6l			#nungambakkam #chennairains #chennaifloods #chennaidrowning #chennai #chennaiweather	671600746995965952	https://twitter.com/mkrishdn/status/671600746995965952
iamkarthikeyank	01-12-2015 13:34	1	0	Flood #alert #chennairains #ChennaiFloods #Adayar https:// twitter.com/kalakkalcinema /status/671599738815315968 			#alert #chennairains #ChennaiFloods #Adayar	671600721037385728	https://twitter.com/iamkarthikeyank/status/671600721037385728
vinog_mca	01-12-2015 13:34	0	0	#chennairains #ChennaiFloods could you please take lunch Break!!!			#chennairains #ChennaiFloods	671600656294154240	https://twitter.com/vinog_mca/status/671600656294154240
Perichali1	01-12-2015 13:32	2	2	 #SingaraChennai #SinkAagaraChennai #chennairains #ChennaiFloods #KnowAIDSNoAIDS #Sofy pic.twitter.com/t1xZnpDNYp			#SingaraChennai #SinkAagaraChennai #chennairains #ChennaiFloods #KnowAIDSNoAIDS #Sofy	671600156425371648	https://twitter.com/Perichali1/status/671600156425371648
rsreenivaas	01-12-2015 13:31	0	0	TCS has officially declared today a holiday !! #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671599953471377408	https://twitter.com/rsreenivaas/status/671599953471377408
chennaivision	01-12-2015 13:31	1	2	#Today #rain #floods show at #Chennai Roads #chennairains #chennaiweather #ChennaiFloods #chennaiweatherupdate - http:// is.gd/pTLU0s			#Today #rain #floods #Chennai #chennairains #chennaiweather #ChennaiFloods #chennaiweatherupdate	671599875612626944	https://twitter.com/chennaivision/status/671599875612626944
rsreenivaas	01-12-2015 13:30	3	0	#Porur lake has broken ..!! It's overflowing.. #chennairains #ChennaiFloods			#Porur #chennairains #ChennaiFloods	671599845736448000	https://twitter.com/rsreenivaas/status/671599845736448000
kalakkalcinema	01-12-2015 13:30	4	0	Flood alert issued by #chennai collector #chennairains #ChennaiFloods pic.twitter.com/KQZIzNmoaP			#chennai #chennairains #ChennaiFloods	671599738815315968	https://twitter.com/kalakkalcinema/status/671599738815315968
ShaunakSinha	01-12-2015 13:30	1	0	Chennai needs a Drainage Minister. #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671599643378114560	https://twitter.com/ShaunakSinha/status/671599643378114560
chennaikat	01-12-2015 13:28	0	4	Beat this logic. Who caused these floods? You did with your own carbon footprint. #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671599226661429248	https://twitter.com/chennaikat/status/671599226661429248
sarakumar1	01-12-2015 13:27	14	18	@Manivj07 Chembarabakkam Lake 20					
KollywoodMedia	01-12-2015 13:26	0	0	Pls retweet #ChennaiFloods Chembrabakkam -Dischrge inc frm 7					
Om_Kash	01-12-2015 13:25	0	1	People mind right now is to reach home safe and don't get away from home fr next 2 days. #ChennaiFloods #chennairains #chennaiweather @sri50	Maraimalai Nagar				
ZuanEducation	01-12-2015 13:24	0	2	Helpline Nos: Tree fall					
ChennaiTwEater	01-12-2015 13:21	5	1	Wat the ---- is that ??? :o #chennai #chennairains #chennaifloods http:// fb.me/6SIm5mh3k			#chennai #chennairains #chennaifloods	671597587728846848	https://twitter.com/ChennaiTwEater/status/671597587728846848
vijayrambomaxim	01-12-2015 13:20	5	10	Indha Floods Seri Aaga Oru One & Half Weeks Aagum Adhuvaraikum Leave dhaa Pola :P #chennairains #ChennaiFloods	Fort Tondiarpet				
rasmira61768704	01-12-2015 13:20	1	1	What on earth is happening in Chennai. #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671597168453509120	https://twitter.com/rasmira61768704/status/671597168453509120
ShimMathur	01-12-2015 13:19	0	1	Hope #Chennai makes it through. #chennairains #chennaiweather #ChennaiFloods			#Chennai #chennairains #chennaiweather #ChennaiFloods	671597046827118592	https://twitter.com/ShimMathur/status/671597046827118592
BalaguruSivam	01-12-2015 13:18	5	2	Helpline RT and save people @ChennaiRains #chennairains @ChennaiConnect #ChennaiFloods #Chennai pic.twitter.com/728oKCPiQx		@ChennaiRains @ChennaiConnect	#chennairains #ChennaiFloods #Chennai	671596660783476736	https://twitter.com/BalaguruSivam/status/671596660783476736
imokkai	01-12-2015 13:18	0	0	#Chennairains #ChennaiFloods #2015 pic.twitter.com/OhcaTq2iuB			#Chennairains #ChennaiFloods #2015	671596633084190720	https://twitter.com/imokkai/status/671596633084190720
SkymetWeather	01-12-2015 13:18	5	1	#ChennaiRains #ChennaiFloods #chennaitraffic https:// twitter.com/nemkals/status /671595374398734340 			#ChennaiRains #ChennaiFloods #chennaitraffic	671596608404918272	https://twitter.com/SkymetWeather/status/671596608404918272
Harikishore23	01-12-2015 13:17	0	2	#chennairains #chennaiweather #ChennaiFloods https:// twitter.com/chennaiweather /status/671595416010362880 			#chennairains #chennaiweather #ChennaiFloods	671596562359824385	https://twitter.com/Harikishore23/status/671596562359824385
